Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"ST. DAVIDS ANGLICAN SCHOOL,  Lafiaji.",State owned,Lagos-Island,Nursery/Primary, stdavidsang@lagosschoolsonline.com," 0803 424 0862, 0807 457 3375","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1903"",""Read more"")"
"ST. FRANCIS CATHOLIC PRY SCHOOL, Igbooja-Kekere",State owned,Ojo,Nursery/Primary, stfrancisigbooja@lagosschoolsonline.com," 0807 456 9530, 0802 453 7638","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2509"",""Read more"")"
"ST. GLADYS NUR/PRY SCHOOL, Alagbado",Privately owned,Alimosho,Nursery/Primary, stgladysprivateschool@gmail.com," 0805 827 6764, 0813 300 2489.","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3285"",""Read more"")"
"ST. GLORIAS NUR/PRY SCHOOL, Maryland",Privately owned, Ikeja,Nursery/Primary, stgloriadaisy@yahoo.com, 0806 359 6996,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11668"",""Read more"")"
"ST. GREGS NURSERY AND PRIMARY, Itire",Privately owned,Surulere,Nursery/Primary," dimkemi@yahoo.com, saintgregsimaekii@yahoo.com", 0802-362-3699,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3670"",""Read more"")"
"ST. JOHNS ANG. NUR/PRY SCHOOL,    Aroloya",State owned,Lagos-Island,Nursery/Primary, , 0807 457 3377,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1904"",""Read more"")"
"ST. JOHNS SCHOOL NURSERY & PRIMARY,  Mushin",Privately owned, Mushin,Nursery/Primary, stjohnsschools2011@gmail.com," 0802-855-3754, or  0802-855-3754","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3708"",""Read more"")"
"ST. JOSEPH NUR/PRY SCHOOL, Agege",Privately owned,Agege,Nursery/Primary, olutele@yahoo.com," 0802 382 3822,   08034703170","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3812"",""Read more"")"
ST. JOSEPH R.C.M PRY SCHOOL,State owned,Epe,Nursery/Primary, , 08036969685,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2727"",""Read more"")"
"ST. JOSEPH RCM PRY. SCHOOL, Imope",State owned,Epe,Nursery/Primary, rcmpryimope@lagosschoolsonline.com," 0702 572 8030,0802 852 9871","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2732"",""Read more"")"
"ST. JOSEPHS R.C.M PRY SCHOOL, Ibonwon",State owned,Epe,Nursery/Primary, , 0805 316 6922,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2558"",""Read more"")"
"ST. JOSHUA NURSERY & PRIMARY SCHOOL, Egan",Privately owned,Alimosho,Nursery/Primary, ," 0802 531 3514,  0803 303 5271","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3420"",""Read more"")"
"ST. JUDES PRIVATE SCHOOL, Festac Town",Privately owned,Amuwo-Odofin,Nursery/Primary, st_judesprisch@yahoo.com, 0803 330 2474  or  01-8795844,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3123"",""Read more"")"
"ST. KIZITO'S CATHOLIC PRY SCHOOL II, Iju Station",State owned,Ifako/Ijaiye,Nursery/Primary, stkizitospryschool_02@lagosschoolsonline.com, 0805 341 2462,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2643"",""Read more"")"
"ST. KIZITOS CATHOLIC PRIMARY SCHOOL I,  Iju-Station",State owned,Ifako/Ijaiye,Nursery/Primary, stkizitospryschool_01@lagosschoolsonline.com, 0802 343 6321,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2625"",""Read more"")"
"ST. LOIUS NURSERY & PRIMARY SCHOOL, Egbeda",Privately owned,Alimosho,Nursery/Primary, ," 0803 405 1556, 0703 106 5778,  0802 393 5957","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3824"",""Read more"")"
"ST. MARGARETS NURSERY & PRIMARY SCHOOL, Ipakodo",Privately owned,Ikorodu,Nursery/Primary, stmargaretseducatiogroup@yahoo.com," 0803 493 0723,  0802 530 0108","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5280"",""Read more"")"
"ST. MARTINS CATHOLIC NURSERY & PRIMARY SCHOOL, Surulere",Privately owned,Surulere,Nursery/Primary, stmartinscatholicschool@gmail.com., 0802-818-3376   or   0803-473-4270.,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3481"",""Read more"")"
"ST. MARYS ANGLICAN PRY SCHOOL, Idoluwo-Ile",State owned,Ojo,Nursery/Primary, stmaryidoluwo@lagosschoolsonline.com," 0807 456 9532,  0805 532 9145","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2513"",""Read more"")"
"ST. MARYS CONVENT SCHOOL, Popo Aguda",State owned,Lagos-Island,Nursery/Primary, stmaryconventsch@lagosschoolsonline.com," 0802 308 4112, 0807 457 3383","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1901"",""Read more"")"
"ST. MARYS GIRLS SCHOOL,  Lagos",State owned,Lagos-Island,Nursery/Primary, marygirls@lagosschoolsonline.com, 0807-457-3388,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1884"",""Read more"")"
"ST. MARYS PRIVATE SCHOOL, Broad/Ajele Street",Privately owned,Lagos-Island,Nursery/Primary, stmary-privateschoollagos@yahoo.com., 0706 049 9251,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3701"",""Read more"")"
"ST. MICHAEL INTERNATIONAL SCHOOL, Ajara",Privately owned, Badagry ,Nursery/Primary, ," 0813 300 7601,  0802 907 4266,       0703 111 1559","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4557"",""Read more"")"
"ST. MICHAEL NUR/PRY, Sabo-Ilaje",Privately owned,Ojo,Nursery/Primary, stmichael@lagosschoolsonline.com," 0803 216 8989, 0816 881 2217","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3469"",""Read more"")"
"ST. MICHAEL NURSERY & PRIMARY SCHOOL, Akowonjo",Privately owned,Alimosho,Nursery/Primary, info@greatmichaelschool.com," 0803 316 2303,      0806 220 2780","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4891"",""Read more"")"
"ST. MICHAELS ANG. PRY SCHL I,  Lagbade",State owned,Epe,Nursery/Primary, stmichsch1@lagosschoolsonline.com," 0805 234 9244,0805 559 6509","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2576"",""Read more"")"
"ST. MICHAELS ANG. PRY SCHOOL II,  Lagbade",State owned,Epe,Nursery/Primary, stmichsch2@lagosschoolsonline.com," 0803 430 1287,0805 981 0936","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2577"",""Read more"")"
"ST. MICHAELS NUR/PRY SCHOOL II, Ojo",State owned,Ojo,Nursery/Primary, stmichaels_school1@lagosschoolsonline.com, 0807 456 9538,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2507"",""Read more"")"
"ST. MICHEAL DEE CHILDREN SCHOOL, Ogba",Privately owned, Ikeja,Nursery/Primary, stmicealdeeschool@yahoo.com," 0802 342 8607, 0802 759 7005","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49395"",""Read more"")"
"ST. MONICA MONTESSORI CHILDRENS SCHOOL, Isolo",Privately owned,Oshodi-Isolo,Nursery/Primary, st.monicaschools@yahoo.com," 01-7923435,7761929   or  08032067411,  08036670799","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3087"",""Read more"")"
"ST. MONICA SECONDARY SCHOOL, Ilasamaja",Privately owned,Oshodi-Isolo,Nursery/Primary, stmonicalschools@yahoo.com, 0803 206 7411,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3194"",""Read more"")"
"ST. NICHOLAS PRIVATE SCHOOL, Ikeja",Privately owned, Ikeja,Nursery/Primary, ," 0806 741 1735,    0803 314 4071","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4623"",""Read more"")"
ST. PATRICKS  CATHOLIC PRY SCHOOL -SABO,State owned,Lagos-Mainland,Nursery/Primary, stpatrickspr@lagosschoolsonline.com, 0703 436 8919,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1961"",""Read more"")"
"ST. PATRICKS (RCM) PRY SCHOOL, Iragbo-Iragon",State owned, Badagry ,Nursery/Primary, stpatiragbo@lagosschoolsonline.com, 0806 002 2726,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/446"",""Read more"")"
"ST. PAUL AFRICAN PRY SCHOOL, Ese-Offin",State owned,Ojo,Nursery/Primary, stpaulafrican@lagosschoolsonline.com, 0807 456 9542,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12403"",""Read more"")"
"ST. PAUL CATHOLIC NUR/PRY  SCHL, Ebute-Metta",State owned,Lagos-Mainland,Nursery/Primary, stpaulcathnp@lagosschoolsonline.com," 0807 457 1555,  0802 037 3532 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1924"",""Read more"")"
"ST. PAULS ANGLICAN PRIMARY SCHOOL, Mafoloku",State owned,Oshodi-Isolo,Nursery/Primary, stpaulprymaf@lagosschoolsonline.com," 0807 456 3218,  0802 292 0272   ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2393"",""Read more"")"
"ST. PAULS U.N.A PRIMARY SCHOOL, Shomolu",State owned, Shomolu,Nursery/Primary, stpetersuna@lagosschoolsonline.com," 0805 840 3618,  0802 548 5529","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2532"",""Read more"")"
"ST. PETERS (U.N.A) PRIMARY SCHOOL, Basua Shomolu",State owned, Shomolu,Nursery/Primary, ," 0807 456 5620, 0806 365 2796","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2347"",""Read more"")"
"ST. PETERS CATH.NUR/PRY SCHL, Ebute-Metta",State owned,Lagos-Mainland,Nursery/Primary, stpeterpryeb@lagosschoolsonline.com," 0805 564 1715,  0807 457 1556","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1987"",""Read more"")"
"ST. PETERS NURSERY & PRIMARY SCHOOL, Alaba",Privately owned,Ojo,Nursery/Primary, stpeters@yahoo.com," 0803 324 7986,  0803 409 2419,     0803 327 1236","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4315"",""Read more"")"
"ST. PHILIPS ANG.NUR/PRY SCHOOL, Ese-Ofin",State owned,Ojo,Nursery/Primary, ," 0803-344-4871,0807 456 9542","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2484"",""Read more"")"
"ST. SAVIOURS NUR & PRY SCHOOL, Ijegun Road",Privately owned,Alimosho,Nursery/Primary, info@saintsavioursgroupofschools.com," 0803 367 2297,    0702 967 2639,    01 841 9002,0815 514 0802, 0815 514 0782","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5255"",""Read more"")"
"ST. STEPHEN R.C.M PRIMARY SCHOOL, Igbonla",State owned,Epe,Nursery/Primary, , 0803-356-7784,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2726"",""Read more"")"
"ST. STEPHENS SCHOOL, Ilasamaja",Privately owned,Oshodi-Isolo,Nursery/Primary, ststephenschool@yahoo.com," 0803 343 7647,  0818 306 6499,  0802 703 4875     ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5708"",""Read more"")"
"ST. T. REGENCY INTERNATIONAL NUR. AND PRY SCHOOL,  G.R.A-Ikeja",Privately owned, Ikeja,Nursery/Primary, , 0708 800 0516   or    01-898 7899,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3211"",""Read more"")"
"ST. THERESAS (RCM) PRy SCHOOL, Epe",State owned,Epe,Nursery/Primary, sttheresaepe@lagosschoolsonline.com, 0803 246 6745,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2682"",""Read more"")"
"ST. VINCENT CATHOLIC SCHOOL, Shasha",Privately owned,Alimosho,Nursery/Primary, saintvincentcatholicschool@yahoo.com," 0803 575 4552,   0703 814 4094,0803 955 6205,  or  01-810 4608","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3344"",""Read more"")"
ST.DAVIDS ANGLICAN PRY SCH. Osoroko,State owned, Ibeju-Lekki,Nursery/Primary, , 0805 651 8499,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1769"",""Read more"")"
"ST.JOSEPHS SNR SEC. SCHL, Mushin",State owned, Mushin,Nursery/Primary, stjosephss81@lagosschoolsonline.com, 0802 318 2200,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1302"",""Read more"")"
"ST.JUDES ANG. PRY. SCHOOL,  Oyingbo",State owned,Lagos-Mainland,Nursery/Primary, stjudepryeb@lagosschoolsonline.com," 0803 364 8043, 0807 457 1553","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1963"",""Read more"")"
"ST.MICHAELS PRIMARY SCHOOL 1, Ojo",State owned,Ojo,Nursery/Primary, , 0802 594 6956,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2486"",""Read more"")"
"ST.PETERS (R.C.M) PRY SCHOOL, Odoragunsin",State owned,Epe,Nursery/Primary, rcmragansin@lagosschoolsonline.com," 0803 360 6950,0803 392 5769","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2516"",""Read more"")"
ST.PETERS ANGLICAN NUR/PRY SCHOOL Isagira,State owned,Ojo,Nursery/Primary, stpeterisagira@lagosschoolsonline.com," 0802 329 5287,  0807 456 9545","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2485"",""Read more"")"
"ST.T.REGENCY COLLEGE, G.R.A. Ikeja",Privately owned, Ikeja,Nursery/Primary, info@yahoo.com, 0706 505 0323,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3209"",""Read more"")"
"STAFF NURSERY & PRIMARY SCHOOL, Badagry Expressway ",Privately owned,Ojo,Nursery/Primary, snpsfgc83@yahoo.com ," 0819 139 8627,     0802 398 6899","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4603"",""Read more"")"
"STANDARD BEARERS SCHOOL, Lekki",Privately owned,Eti-Osa,Nursery/Primary, sbsmgt34@gmail.com," 0702 811 0304, 0803 444 4370","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10246"",""Read more"")"
"STANDARD NUR PRY SCHOOL, Idi-Oro",Privately owned, Mushin,Nursery/Primary, standardnurand pryschll@yahoo.com," 0705 883 0626,   0802 370 4343","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6817"",""Read more"")"
"STARLIGHT NURSERY/PRIMARY SCHOOL, Sari-Iganmu",Privately owned,Apapa,Nursery/Primary, ," 0805 771 3868,   01-774 2667","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4863"",""Read more"")"
"STARLIGHT SCHOOL, Orilowo-Ejigbo",Privately owned,Oshodi-Isolo,Nursery/Primary, starlightschoolsnigeria@yahoo.com," 0803 662 7374,  or 0802 313 9739  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4081"",""Read more"")"
"START RIGHT INTERNATIONAL CHILDREN SCHOOL, Ire-Akari",Privately owned,Oshodi-Isolo,Nursery/Primary, startrights@gmail .com,"  0803 665 0075,0803 234 3258","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4288"",""Read more"")"
"STATE NURSERY/PRIMARY SCHOOL,  Apapa",State owned,Apapa,Nursery/Primary, statepry@lagosschoolsonline.com," 0803 801 6632, 0807 456 9387","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/251"",""Read more"")"
"STATE PRIMARY SCHOOL,  Dopemu",State owned,Agege,Nursery/Primary, stdopemugege@lagosschoolsonline.com, 08033185306 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/55"",""Read more"")"
"STATE PRIMARY SCHOOL,  Iloro-Agege",State owned,Agege,Nursery/Primary, iloroagege@lagosschoolsonline.com, 08027429838,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/58"",""Read more"")"
"STATE PRIMARY SCHOOL,  Ogba-Ijaye",State owned,Agege,Nursery/Primary, ,  0802 834 4615  or  0702 904 9961,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/56"",""Read more"")"
"STATE PRIMARY SCHOOL,  Oyewole-Agege",State owned,Agege,Nursery/Primary, spsoyewagege@lagosschoolsonline.com, 08067890044 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/57"",""Read more"")"
"STATE PRIMARY SCHOOL, Ewutuntun",State owned,Oshodi-Isolo,Nursery/Primary, statepryewu@lagosschoolsonline.com," 0807 456 3226,  0803 382 9397 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2396"",""Read more"")"
"STATE PRIMARY SCHOOL, Mafoluku",State owned,Oshodi-Isolo,Nursery/Primary, stateprymaf@lagosschoolsonline.com," 0807 456 3229,    0802 826 7563 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2599"",""Read more"")"
"STATE PRIMARY SCHOOL, Onipetesi-Mangoro",State owned, Ikeja,Nursery/Primary, statepryschl@lagosschoolsonline.com," 0802 365 3754, 0807 457 3292","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/817"",""Read more"")"
"STATE PRIMARY SCHOOL, Sango",State owned,Agege,Nursery/Primary, statesanngoa@lagosschoolsonline.com, 08023005598,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12193"",""Read more"")"
"STATUS COMPREHENSIVE COLLEGE, Dopemu",Privately owned,Agege,Nursery/Primary, statuscompcollege@yahoo.com, 0808 486 9068,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5730"",""Read more"")"
"STATUS NUR & PRY SCHOOL, Agege",Privately owned,Agege,Nursery/Primary, statusschool@yahoo.co.uk," 0808 486 9068, 0702 522 5276","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6888"",""Read more"")"
"STEADFAST NUR/PRY SCHOOL, Ajangbadi",Privately owned,Ojo,Nursery/Primary, mpcuzoh@yahoo.com," 0802-306 9338, 0703 560 9428,0803 324 5450","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3483"",""Read more"")"
"STEADFAST NURSERY & PRIMARY SCHOOL, Ijegun",Privately owned,Alimosho,Nursery/Primary, , ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49161"",""Read more"")"
"STEADFAST NURSERY & PRIMARY SCHOOL, Ikotun",Privately owned,Alimosho,Nursery/Primary, ," 0805 830 3523,  0802 718 3705","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4322"",""Read more"")"
"STEPHEN GLORIOUS NURSERY & PRIMARY SCHOOL, Fadeyi",Privately owned, Mushin,Nursery/Primary, , 0802 845 5434   or     0706 397 0982,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3790"",""Read more"")"
"STEPS FORWARD SCHOOL, Ajah",Privately owned,Eti-Osa,Nursery/Primary, stepforwardschool@gmail.com," 0803 958 2669, 0802 330 6069, 0805 506 6633","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7040"",""Read more"")"
"STERN NURSERY & PRIMARY SCHOOL, Eyita",Privately owned,Ikorodu,Nursery/Primary, sternnp@yahoo.com, 0803 335 8681,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6762"",""Read more"")"
"STRAFORB SCHOOLS, Aboru",Privately owned,Alimosho,Nursery/Primary, straforb@ymail .com," 0802 936 6046,0809 502 5068","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11129"",""Read more"")"
"STREAMLINERS PRIVATE SCHOOL, Omotoye Estate ",Privately owned,Agege,Nursery/Primary, streamliner.ps@yahoo.com," 0805 073 7690,    0803 301 8991","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9843"",""Read more"")"
STUDY HABIT NP SCHOOL,Privately owned,,Nursery/Primary, , 08060375167,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105478"",""Read more"")"
"SUBUOLA NUR/PRY SCHOOL,  Surulere.",State owned,Surulere,Nursery/Primary, , 08066084882 / 08159092251,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2010"",""Read more"")"
"SUCCESS CROWN NURSERY & PRIMARY SCHOOL, Oworonshoki",Privately owned,Kosofe,Nursery/Primary, successcrownschools@yahoo.com," 0803 717 8793,   0810 103 4518,   0802-566-1470","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3764"",""Read more"")"
"SUCCESS MONTESSORI NUR/PRY SCHOOL,  Alagbado  ",Privately owned,Alimosho,Nursery/Primary, josepharemo@yahoo.com, 0802 332 7995,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4611"",""Read more"")"
"SULAIMAN SHADO SCHOOL, Mushin ",Privately owned, Mushin,Nursery/Primary, shadoschools@yahoo.com," 0802 383 7661,   0811 393 3200","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6682"",""Read more"")"
"SUMMERLAND SCHOOL NURSERY & PRIMARY , Mushin",Privately owned, Mushin,Nursery/Primary, summerland_school@yahoo.com," 0803 365 4467.   0810 620 2479,  or    0805 782 9943, 0810 620 2479,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4142"",""Read more"")"
"SUNBEAM HEIGHTS NURSERY PRIMARY SCHOOL, Bolade",Privately owned,Oshodi-Isolo,Nursery/Primary, sunbeamheightsnurpryschool@yahoo.co.uk," 0803 831 8381,0802 849 8711","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3144"",""Read more"")"
"SUNBEAM NURSERY & PRIMARY SCHOOL, Shasha",Privately owned,Alimosho,Nursery/Primary, ," 0819 171 6943,     0819 138 0240","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5096"",""Read more"")"
"SUNFLOWER COMP. HIGH SCHOOL, Ejigbo",Privately owned,Oshodi-Isolo,Nursery/Primary, ," 0802 428 3044,  0803 459 1820","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10931"",""Read more"")"
"SUNNYDALE SCHOOL, Ikeja-G.R.A",Privately owned,Ikeja,Nursery/Primary, sunnydalegra2@yahoo.com, 0818 276 7909,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3230"",""Read more"")"
"SUNNYDALE SCHOOL, Ikeja-G.R.A",Privately owned, Ikeja,Nursery/Primary, sunnydalegra2@yahoo.com, 0818 276 7909  0r   01-896-3778,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3248"",""Read more"")"
"SUNNYFIELDS PRY & TENDERFOOT NUR. SCHOOL, Surulere",Privately owned,Surulere,Nursery/Primary, sunnyfields.tenderfoot@yahoo.com, 0806 024 3766,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77392"",""Read more"")"
"SUNSHINE NUR/PRY SCHOOL, Aguda",Privately owned,Surulere,Nursery/Primary, sunshinen/pschool@yahoo.com," 0805 541 8429,    0806 788 9805, or   01-738 7041","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3103"",""Read more"")"
"SUPER JJJ NUR. & PRY SCHOOL, Orile Agege",Privately owned,Agege,Nursery/Primary, dele-ajibola@yahoo.com," 0803 423 6408,  0802 212 2142,  0803 305 7166","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7151"",""Read more"")"
"SUPER SAINT NUR/PRY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, ," 0803 371 0079,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3613"",""Read more"")"
"SUPERSTARS NURSERY/PRIMARY SCHOOL, Ijagemo",Privately owned,Ojo,Nursery/Primary, superstarschool@yahoo.co.uk," 0803-462-7757,   0818704 8447    or    0802-782-9869.","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3634"",""Read more"")"
"SUPREME PRIVATE SCHOOL, Ojo",Privately owned,Ojo,Nursery/Primary, supremeschools@yahoo.com," 0806 430 2509,  0708 644 7006","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3661"",""Read more"")"
"SURE-WAY NURSERY/PRIMARY SCHOOL, Oko-Oba",Privately owned,Agege,Nursery/Primary, sureway.schools@yahoo.com," 0803 344 5123,    0803 471 3079","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5112"",""Read more"")"
"SUREPATH SCHOOL NUR & PRY SCHOOL, Ikorodu",Privately owned,Ikorodu,Nursery/Primary, surepathschools@yahooo.com," 0803 331 6568,   0703 066 6949","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6818"",""Read more"")"
"SUREVILLE MONTESSORI SCHOOL, Ajah",Privately owned,Eti-Osa,Nursery/Primary, info@ surevilleschools.com  ,  0703 891 7937,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9611"",""Read more"")"
"SURU PRIMARY SCHOOL, Ajegunle",State owned,Ajeromi LGA,Nursery/Primary, suruschool@lagosschoolsonline.com, 08032311785,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/113"",""Read more"")"
"SURULERE BAPTIST NUR/PRY SCHOOL, Surulere.",State owned,Surulere,Nursery/Primary, ," 0803 838 6934, 0815 909 2226","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2505"",""Read more"")"
"SURULERE COMMUNITY PRY SCHOOL,  Agbado.",State owned,Alimosho,Nursery/Primary, , 0803 619 8412,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/170"",""Read more"")"
"SURULERE COMPUTER CENTRE,  Surulere",State owned,Surulere,Nursery/Primary, surulerecomputer@lagosschoolsonline.com, 0708 208 9563,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2094"",""Read more"")"
"SURULERE PRIMARY SCHOOL, Glegg-Surulere",State owned,Surulere,Nursery/Primary, surulerenps1@lagosschoolsonline.com, 0815 909 2234,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2055"",""Read more"")"
"SUSAN MEMORIAL NURSERY/PRIMARY SCHOOL, Ogba-Aguda",Privately owned,Ikeja,Nursery/Primary, susanmemorialschool2004@yahoo.co.uk," 0802 909 1997, 0805 667 7848","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8711"",""Read more"")"
"SUSAN MEMORIAL NURSERY/PRIMARY SCHOOL, Ogba-Aguda",Privately owned, Ikeja,Nursery/Primary, susanmemorialschool2004@yahoo.co.uk," 0803 426 2544,0802 909 1997, 0805 667 7848, 0802 909 1997","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8847"",""Read more"")"
"SWEET KIDS NURSERY & PRIMARY, Festac",Privately owned,Amuwo-Odofin,Nursery/Primary, sweetkidsschool@yahoo.com, 0803 302 0815,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8559"",""Read more"")"
"SWEETVALE NURSERY & PRIMARY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, sweetvalenurseryschool@yahoo.coom,          0803 715 5692,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3430"",""Read more"")"
